                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1127,                0.33333,                      1,                  1.055,             0.00015708,             0.00015708,             0.00015708
                      2,                  1.075,                0.33333,                      1,                 1.0553,             0.00032066,             0.00032066,             0.00032066
                      3,                  1.099,                0.83333,                      1,                 1.0514,              0.0004836,              0.0004836,              0.0004836
                      4,                 1.0381,                0.83333,                      1,                 1.0511,             0.00064588,             0.00064588,             0.00064588
                      5,                 1.0634,                0.83333,                      1,                 1.0511,             0.00070835,             0.00070835,             0.00070835
                      6,                 1.0563,                    0.5,                      1,                 1.0373,             0.00070693,             0.00070693,             0.00070693
                      7,                 1.0024,                    0.5,                      1,                 1.0371,             0.00070552,             0.00070552,             0.00070552
                      8,                  1.028,                    0.5,                      1,                 1.0368,              0.0007041,              0.0007041,              0.0007041
                      9,                 1.0119,                    0.5,                      1,                 1.0228,             0.00070269,             0.00070269,             0.00070269
                     10,                 1.0013,                    0.5,                      1,                 1.0228,             0.00070128,             0.00070128,             0.00070128
                     11,                0.98287,                0.66667,                      1,                 0.9974,             0.00069986,             0.00069986,             0.00069986
                     12,                0.95875,                0.66667,                      1,                 0.9974,             0.00069845,             0.00069845,             0.00069845
                     13,                0.92417,                0.66667,                      1,                 0.9974,             0.00069704,             0.00069704,             0.00069704
                     14,                0.94983,                      1,                      1,                 0.9502,             0.00069562,             0.00069562,             0.00069562
                     15,                0.89604,                      1,                      1,                0.95003,             0.00069421,             0.00069421,             0.00069421
                     16,                0.89362,                      1,                      1,                0.94987,             0.00069279,             0.00069279,             0.00069279
                     17,                0.85791,                      1,                      1,                0.93164,             0.00069138,             0.00069138,             0.00069138
                     18,                0.83781,                      1,                      1,                0.93164,             0.00068997,             0.00068997,             0.00068997
                     19,                0.81794,                      1,                      1,                0.93164,             0.00068855,             0.00068855,             0.00068855
                     20,                0.84343,                      1,                      1,                0.89209,             0.00068714,             0.00068714,             0.00068714
                     21,                0.79371,                      1,                      1,                0.89209,             0.00068573,             0.00068573,             0.00068573
                     22,                0.75955,                      1,                      1,                0.89209,             0.00068431,             0.00068431,             0.00068431
                     23,                0.76819,                      1,                      1,                0.88851,              0.0006829,              0.0006829,              0.0006829
                     24,                0.77577,                      1,                      1,                0.88867,             0.00068148,             0.00068148,             0.00068148
                     25,                0.77146,                      1,                      1,                 0.8623,             0.00068007,             0.00068007,             0.00068007
                     26,                0.72461,                      1,                      1,                0.86214,             0.00067866,             0.00067866,             0.00067866
                     27,                0.75712,                      1,                      1,                 0.8623,             0.00067724,             0.00067724,             0.00067724
                     28,                0.75541,                      1,                      1,                0.81657,             0.00067583,             0.00067583,             0.00067583
