                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00274,                      1,                      1,                0.55176,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                0.02135,                      1,                      1,                0.55176,             2.1208e-05,             2.1208e-05,             2.1208e-05
                      3,                0.06069,                      1,                      1,                0.55176,             3.4993e-05,             3.4993e-05,             3.4993e-05
                      4,                0.06543,                      1,                      1,                0.55176,             4.8496e-05,             4.8496e-05,             4.8496e-05
                      5,                0.09314,                      1,                      1,                0.55127,             6.1715e-05,             6.1715e-05,             6.1715e-05
                      6,                0.01875,                      1,                      1,                0.55127,             7.4652e-05,             7.4652e-05,             7.4652e-05
                      7,                0.04676,                      1,                      1,                0.55127,             8.7306e-05,             8.7306e-05,             8.7306e-05
                      8,                0.03693,                      1,                      1,                0.55127,             9.9678e-05,             9.9678e-05,             9.9678e-05
                      9,                0.00652,                      1,                      1,                0.55127,             0.00011177,             0.00011177,             0.00011177
                     10,                0.01591,                      1,                      1,                0.55127,             0.00012357,             0.00012357,             0.00012357
                     11,                0.00711,                      1,                      1,                0.55127,              0.0001351,              0.0001351,              0.0001351
                     12,                0.08227,                      1,                      1,                0.55127,             0.00014634,             0.00014634,             0.00014634
                     13,                0.01199,                      1,                      1,                0.55127,             0.00015729,             0.00015729,             0.00015729
                     14,                0.01524,                      1,                      1,                0.55127,             0.00016797,             0.00016797,             0.00016797
                     15,                0.02874,                      1,                      1,                0.55127,             0.00017836,             0.00017836,             0.00017836
                     16,                0.03844,                      1,                      1,                0.55127,             0.00018847,             0.00018847,             0.00018847
                     17,                0.06004,                      1,                      1,                0.55127,              0.0001983,              0.0001983,              0.0001983
                     18,                0.19192,                      1,                      1,                0.55127,             0.00020784,             0.00020784,             0.00020784
                     19,                0.00219,                      1,                      1,                0.55127,              0.0002171,              0.0002171,              0.0002171
                     20,                0.14793,                      1,                      1,                0.55127,             0.00022608,             0.00022608,             0.00022608
                     21,                0.05223,                      1,                      1,                0.55127,             0.00023478,             0.00023478,             0.00023478
                     22,                0.04354,                      1,                      1,                0.55127,             0.00024319,             0.00024319,             0.00024319
                     23,                0.00474,                      1,                      1,                0.55127,             0.00025132,             0.00025132,             0.00025132
                     24,                 0.0151,                      1,                      1,                0.55127,             0.00025917,             0.00025917,             0.00025917
                     25,                0.00336,                      1,                      1,                0.55127,             0.00026673,             0.00026673,             0.00026673
                     26,                0.01028,                      1,                      1,                0.55127,             0.00027402,             0.00027402,             0.00027402
                     27,                0.06223,                      1,                      1,                0.55127,             0.00028101,             0.00028101,             0.00028101
                     28,                0.00263,                      1,                      1,                0.55127,             0.00028773,             0.00028773,             0.00028773
                     29,                  0.104,                      1,                      1,                0.55176,             0.00029417,             0.00029417,             0.00029417
